Key sets	RPI_ns	RPI	NUC_ns	NUC
0	249436.800	0.000249437	5247.900	5.2479E-06
1	86234.200	8.62342E-05	4306.300	4.3063E-06
2	158811460.500	0.158811461	11975463.800	0.011975464
3	479345981.600	0.479345982	35546215.300	0.035546215
4	944563492.800	0.944563493	70608538.500	0.070608539
5	1573430243.900	1.573430244	117820354.600	0.117820355
6	2405712684.500	2.405712685	177220304.300	0.177220304
7	3357330800.100	3.3573308	248467007.600	0.248467008
8	4401811199.000	4.401811199	330820357.800	0.330820358
9	5682945020.400	5.68294502	428178938.800	0.428178939
10	7087915289.500	7.08791529	536434528.200	0.536434528
11	8631887959.000	8.631887959	652509470.200	0.65250947
12	10361435782.500	10.36143578	782275461.300	0.782275461
13	12249443296.300	12.2494433	924837604.400	0.924837604
14	14270810597.600	14.2708106	1076377312.800	1.076377313
15	16480792038.200	16.48079204	1243858451.000	1.243858451
16	18829369895.800	18.8293699	1419611525.600	1.419611526
17	21382967960.700	21.38296796	1607852878.100	1.607852878
18	24385986835.300	24.38598684	1807524538.300	1.807524538
19	27258903035.300	27.25890304	2018469265.800	2.018469266
20	30279381095.700	30.2793811	2244568052.200	2.244568052
21	33479488801.600	33.4794888	2487508940.200	2.48750894
22	36813170020.200	36.81317002	2744917547.800	2.744917548
23	40315004990.400	40.31500499	3004077959.900	3.00407796
24	43988752000.300	43.988752	3274602336.000	3.274602336
25	47784130126.900	47.78413013	3553992268.400	3.553992268
26	51797694723.700	51.79769472	3852661638.800	3.852661639
27	55938405229.600	55.93840523	4159816484.600	4.159816485
28	60251063120.500	60.25106312	4481242156.700	4.481242157
29	64717535218.400	64.71753522	4809905417.100	4.809905417
30	69216427798.500	69.2164278	5151350701.500	5.151350702
31	74115871559.800	74.11587156	5504799025.900	5.504799026
32	79073541998.900	79.073542	5871356710.400	5.87135671
33	84208948691.800	84.20894869	6244331402.900	6.244331403
34	89395097410.300	89.39509741	6640965569.300	6.640965569
35	94725512050.000	94.72551205	7044216106.700	7.044216107
36	100450746643.900	100.4507466	7452357352.900	7.452357353
37	106080799219.800	106.0807992	7879067486.700	7.879067487
38	111979323048.700	111.979323	8314087291.900	8.314087292
39	117859775140.300	117.8597751	8756446013.700	8.756446014
40	124255377584.900	124.2553776	9226168963.200	9.226168963
41	130623838747.300	130.6238387	9703269250.800	9.703269251
42	137091127827.800	137.0911278	10177299163.100	10.17729916
43	143754064341.600	143.7540643	10682408780.200	10.68240878
44	150695819484.300	150.6958195	11175084830.000	11.17508483
45	157674488853.800	157.6744889	11723597666.800	11.72359767
46	164762196688.700	164.7621967	12233299324.200	12.23329932
47	171935918320.300	171.9359183	12782438336.100	12.78243834
48	179747088974.000	179.747089	13324723242.700	13.32472324
49	187265645078.100	187.2656451	13926317338.700	13.92631734
50	194810224508.700	194.8102245	14496819686.200	14.49681969
