payloadsize	encrypt	decrypt
1	0.0007450460	0.0006043720
10	0.0007442810	0.0006045220
20	0.0007376120	0.0006013950
30	0.0007437540	0.0006035380
40	0.0007355640	0.0005985760
50	0.0007430130	0.0006028850
60	0.0007413460	0.0006029050
70	0.0007466230	0.0006055310
80	0.0007444350	0.0006036760
90	0.0007450220	0.0006039050
100	0.0007443690	0.0006049600
110	0.0007443840	0.0006047770
120	0.0007430920	0.0006038430
130	0.0007416470	0.0006039250
140	0.0007399400	0.0006014530
150	0.0007429860	0.0006037130
160	0.0007409800	0.0006025390
170	0.0007395400	0.0006016920
180	0.0007331490	0.0006027160
190	0.0007367120	0.0006034120
200	0.0007353980	0.0006029480
210	0.0007346060	0.0005993680
220	0.0007344030	0.0005987750
230	0.0007334910	0.0005987470
240	0.0007334750	0.0005985520
250	0.0007329660	0.0005987910
260	0.0007328410	0.0005983090
270	0.0007332960	0.0005985700
280	0.0007328860	0.0006007080
290	0.0007860140	0.0005993440
300	0.0007326080	0.0005982920
310	0.0007332670	0.0005980360
320	0.0007324470	0.0005978910
330	0.0007326160	0.0005983650
340	0.0007321550	0.0005985720
350	0.0007324690	0.0005987440
360	0.0007334450	0.0005997990
370	0.0007337470	0.0005992450
380	0.0007332780	0.0005997780
390	0.0007336440	0.0005996390
400	0.0007338240	0.0005995280
410	0.0007339960	0.0005992240
420	0.0007338490	0.0005996120
430	0.0008561370	0.0006907110
440	0.0007395980	0.0006023790
450	0.0007347750	0.0006002550
460	0.0007344260	0.0006000910
470	0.0007356030	0.0006037050
480	0.0007337460	0.0006009380
490	0.0007341720	0.0006022070
500	0.0007354250	0.0006009270
510	0.0007343710	0.0006012390
520	0.0007343590	0.0006011390
530	0.0007366610	0.0006011390
540	0.0007349690	0.0006004400
550	0.0007347670	0.0006009340
560	0.0007349610	0.0006021520
570	0.0007356400	0.0006015200
580	0.0007379030	0.0006026450
590	0.0007345980	0.0006019410
600	0.0007368180	0.0006016250
610	0.0007360250	0.0006021990
620	0.0007375240	0.0006026490
630	0.0007368020	0.0006025980
640	0.0007352120	0.0006023110
650	0.0007361640	0.0006024710
