payloadsize	sign	verify
1	0.0000086500	0.0000003740
10	0.0000090500	0.0000007310
20	0.0000101000	0.0000007100
30	0.0000099500	0.0000007140
40	0.0000101000	0.0000007070
50	0.0000099400	0.0000007060
60	0.0000100000	0.0000006690
70	0.0000100000	0.0000007320
80	0.0000099800	0.0000007060
90	0.0000099300	0.0000006670
100	0.0000093300	0.0000006270
110	0.0000071500	0.0000003690
120	0.0000065800	0.0000003670
130	0.0000065000	0.0000003660
140	0.0000064500	0.0000003590
150	0.0000065000	0.0000003660
160	0.0000064600	0.0000003640
170	0.0000064800	0.0000003620
180	0.0000065700	0.0000003580
190	0.0000064800	0.0000003690
200	0.0000083600	0.0000005330
210	0.0000070400	0.0000003670
220	0.0000065400	0.0000003610
230	0.0000065900	0.0000003740
240	0.0000064600	0.0000003650
250	0.0000064800	0.0000003730
260	0.0000064600	0.0000003670
270	0.0000064700	0.0000003660
280	0.0000064700	0.0000003600
290	0.0000065200	0.0000003640
300	0.0000064500	0.0000003640
310	0.0000064300	0.0000003610
320	0.0000065000	0.0000003610
330	0.0000064600	0.0000003580
340	0.0000064200	0.0000003610
350	0.0000065100	0.0000003680
360	0.0000064500	0.0000003600
370	0.0000064800	0.0000003600
380	0.0000065000	0.0000003730
390	0.0000064700	0.0000003640
400	0.0000073300	0.0000006080
410	0.0000078800	0.0000003680
420	0.0000071400	0.0000003680
430	0.0000082000	0.0000006650
440	0.0000077400	0.0000004780
450	0.0000079100	0.0000004950
460	0.0000073400	0.0000003660
470	0.0000066800	0.0000005150
480	0.0000072500	0.0000003670
490	0.0000071600	0.0000004460
500	0.0000068400	0.0000003700
510	0.0000082200	0.0000004840
520	0.0000068500	0.0000003650
530	0.0000065000	0.0000003740
540	0.0000064700	0.0000003700
550	0.0000064900	0.0000003730
560	0.0000065500	0.0000003720
570	0.0000064600	0.0000003670
580	0.0000064200	0.0000003710
590	0.0000064500	0.0000003700
600	0.0000064500	0.0000003680
610	0.0000064600	0.0000003790
620	0.0000065200	0.0000003650
630	0.0000064600	0.0000003670
640	0.0000062600	0.0000003730
650	0.0000064600	0.0000003650
660	0.0000064700	0.0000003610
670	0.0000064700	0.0000003720
680	0.0000065000	0.0000003710
690	0.0000064500	0.0000003660
700	0.0000064400	0.0000003720
710	0.0000064700	0.0000003640
720	0.0000064700	0.0000003820
730	0.0000065000	0.0000003660
740	0.0000065000	0.0000003670
750	0.0000064500	0.0000003670
760	0.0000064800	0.0000003650
770	0.0000063500	0.0000003670
780	0.0000065000	0.0000003630
790	0.0000064800	0.0000004280
800	0.0000064900	0.0000003800
810	0.0000064700	0.0000003640
820	0.0000064900	0.0000003650
830	0.0000064800	0.0000003840
840	0.0000064800	0.0000003670
850	0.0000065400	0.0000003670
860	0.0000064900	0.0000003670
870	0.0000064600	0.0000003650
880	0.0000064700	0.0000003630
890	0.0000064900	0.0000003680
900	0.0000064700	0.0000003660
910	0.0000064900	0.0000003760
920	0.0000065000	0.0000003720
930	0.0000064600	0.0000003710
940	0.0000064700	0.0000003650
950	0.0000064500	0.0000003690
960	0.0000064600	0.0000003680
970	0.0000064800	0.0000003610
980	0.0000064500	0.0000003640
990	0.0000064600	0.0000003710
1000	0.0000064600	0.0000003640
1010	0.0000064800	0.0000003680
1020	0.0000064400	0.0000003750
1030	0.0000064800	0.0000003720
1040	0.0000064500	0.0000003620
1050	0.0000064700	0.0000003720
1060	0.0000064900	0.0000003830
1070	0.0000065300	0.0000003650
1080	0.0000064600	0.0000003770
1090	0.0000064900	0.0000003690
1100	0.0000065200	0.0000003690
1110	0.0000064900	0.0000003890
1120	0.0000065500	0.0000003780
1130	0.0000065300	0.0000003690
1140	0.0000065000	0.0000003660
1150	0.0000064500	0.0000003670
1160	0.0000064500	0.0000003730
1170	0.0000064900	0.0000003640
1180	0.0000064700	0.0000003820
1190	0.0000064800	0.0000003700
1200	0.0000064900	0.0000003720
1210	0.0000065100	0.0000003680
1220	0.0000064800	0.0000003780
1230	0.0000065000	0.0000003740
1240	0.0000064900	0.0000003660
1250	0.0000065400	0.0000003820
1260	0.0000065300	0.0000003680
1270	0.0000065400	0.0000003690
1280	0.0000064800	0.0000003710
1290	0.0000065100	0.0000003730
1300	0.0000064700	0.0000003710
1310	0.0000062800	0.0000003680
1320	0.0000065300	0.0000003760
1330	0.0000065100	0.0000003700
1340	0.0000065000	0.0000003700
1350	0.0000064800	0.0000003730
1360	0.0000065000	0.0000003720
1370	0.0000064800	0.0000003750
1380	0.0000065000	0.0000003690
1390	0.0000065500	0.0000003710
1400	0.0000064900	0.0000003700
1410	0.0000064800	0.0000003680
1420	0.0000064600	0.0000003670
1430	0.0000064600	0.0000003680
1440	0.0000065100	0.0000003800
1450	0.0000065200	0.0000003650
1460	0.0000064600	0.0000003660
1470	0.0000065100	0.0000003720
1480	0.0000064900	0.0000003690
1490	0.0000065200	0.0000003650
1500	0.0000064900	0.0000003620
1510	0.0000065700	0.0000003770
1520	0.0000065500	0.0000003680
1530	0.0000065700	0.0000003730
1540	0.0000064800	0.0000003740
1550	0.0000064900	0.0000003680
1560	0.0000064600	0.0000003700
1570	0.0000064800	0.0000003740
1580	0.0000065400	0.0000003740
1590	0.0000065200	0.0000003700
1600	0.0000065200	0.0000003760
1610	0.0000065400	0.0000003820
1620	0.0000064800	0.0000003730
1630	0.0000065600	0.0000003740
1640	0.0000065200	0.0000003780
1650	0.0000064900	0.0000003720
1660	0.0000064700	0.0000003710
1670	0.0000064900	0.0000003730
1680	0.0000065000	0.0000003730
1690	0.0000064900	0.0000003670
1700	0.0000065500	0.0000003690
1710	0.0000065200	0.0000003810
1720	0.0000065300	0.0000003670
1730	0.0000064900	0.0000003740
1740	0.0000065000	0.0000003690
1750	0.0000064900	0.0000003730
1760	0.0000065200	0.0000003740
1770	0.0000064900	0.0000003690
