payloadsize	encrypt	decrypt
1	0.0060361700	0.0043785900
10	0.0060394100	0.0043643400
20	0.0060321000	0.0043591500
30	0.0060362800	0.0043665600
40	0.0060386500	0.0043582000
50	0.0059980400	0.0043346700
60	0.0059917000	0.0043694900
70	0.0060258700	0.0043402300
80	0.0060191200	0.0043573100
90	0.0060047600	0.0043358900
100	0.0060118200	0.0043417200
110	0.0060335700	0.0043467500
120	0.0060140800	0.0043647500
130	0.0060091400	0.0043403300
140	0.0060532000	0.0043422900
150	0.0060165400	0.0043425100
160	0.0060324900	0.0043413400
170	0.0060001800	0.0043358000
180	0.0060402000	0.0043463600
190	0.0061055800	0.0043687700
200	0.0060573800	0.0043612000
210	0.0060688900	0.0043807800
220	0.0060720100	0.0043861200
230	0.0060737600	0.0043893100
240	0.0060610500	0.0043781600
250	0.0060534800	0.0043751900
260	0.0060633500	0.0043780700
270	0.0060580600	0.0043800900
280	0.0060513700	0.0043776600
290	0.0060675900	0.0043844500
300	0.0060774100	0.0043825200
310	0.0060601400	0.0043793600
320	0.0060484600	0.0043806600
330	0.0060524400	0.0043782000
340	0.0060601100	0.0043775500
350	0.0060534700	0.0043782400
360	0.0060484300	0.0043796600
370	0.0060607900	0.0043807400
380	0.0060639800	0.0043876800
390	0.0060729200	0.0043847300
400	0.0060292600	0.0043566000
410	0.0060219600	0.0043489700
420	0.0060224900	0.0043496000
430	0.0060262000	0.0043500200
440	0.0060400400	0.0043624800
450	0.0060532100	0.0043664200
460	0.0060210400	0.0043456600
470	0.0060237400	0.0043492900
480	0.0060241200	0.0043498800
490	0.0060300800	0.0043585800
500	0.0060323300	0.0043552500
510	0.0060158400	0.0043494100
520	0.0060250700	0.0043513200
530	0.0060228500	0.0043539700
540	0.0060200100	0.0043506500
550	0.0060287300	0.0043481200
560	0.0060399200	0.0043532800
570	0.0060333000	0.0043522000
580	0.0060370100	0.0043501200
590	0.0060572100	0.0043657300
600	0.0060198000	0.0043543900
610	0.0060290000	0.0043602900
620	0.0060356700	0.0043613300
630	0.0060376900	0.0043559100
640	0.0060291200	0.0043516800
650	0.0060264100	0.0043558400
660	0.0060311200	0.0043574000
670	0.0060328600	0.0043540800
680	0.0060292800	0.0043622300
690	0.0060321100	0.0043615100
700	0.0060318400	0.0043519500
710	0.0060336800	0.0043653800
720	0.0060437400	0.0043598700
730	0.0060240700	0.0043562200
740	0.0060240500	0.0043540600
750	0.0060268500	0.0043542800
760	0.0060272600	0.0043583700
770	0.0060320000	0.0043576800
780	0.0060560000	0.0043656800
790	0.0060266700	0.0043569200
800	0.0060315700	0.0043626400
810	0.0060242900	0.0043594200
820	0.0060255500	0.0043565000
830	0.0060297300	0.0043568500
840	0.0060362100	0.0043575000
850	0.0060360900	0.0043578200
860	0.0060339600	0.0043571800
870	0.0060530200	0.0043690400
880	0.0060379000	0.0043656300
890	0.0060378200	0.0043575400
900	0.0060251600	0.0043608900
910	0.0060441800	0.0043626500
920	0.0060318900	0.0043601400
930	0.0060339100	0.0043588600
940	0.0060333600	0.0043671800
950	0.0060362800	0.0043602500
960	0.0060344800	0.0043630300
970	0.0060473500	0.0043650600
980	0.0060327600	0.0043650900
990	0.0060313500	0.0043588100
1000	0.0060287400	0.0043632400
1010	0.0060327700	0.0043717100
1020	0.0060412600	0.0043671400
1030	0.0060284200	0.0043561600
1040	0.0060236800	0.0043601400
1050	0.0060233200	0.0043585200
1060	0.0060393600	0.0043671100
1070	0.0060622100	0.0043816200
1080	0.0060371000	0.0043646300
1090	0.0060376000	0.0043717900
