payloadsize	sign	verify
1	0.0000490269	0.0000058812
10	0.0000483154	0.0000057604
20	0.0000472931	0.0000057838
30	0.0000475061	0.0000058297
40	0.0000475774	0.0000057390
50	0.0000471691	0.0000057854
60	0.0000475899	0.0000057932
70	0.0000475795	0.0000057932
80	0.0000473509	0.0000057609
90	0.0000472702	0.0000057802
100	0.0000475639	0.0000057916
110	0.0000472509	0.0000057943
120	0.0000474201	0.0000058021
130	0.0000477243	0.0000057547
140	0.0000470394	0.0000058047
150	0.0000469868	0.0000057984
160	0.0000472399	0.0000058510
170	0.0000469040	0.0000057969
180	0.0000470613	0.0000057927
190	0.0000471873	0.0000058172
200	0.0000471670	0.0000058104
210	0.0000471962	0.0000058562
220	0.0000473722	0.0000058026
230	0.0000474785	0.0000058042
240	0.0000473457	0.0000058547
250	0.0000474837	0.0000058182
260	0.0000473295	0.0000058182
270	0.0000480774	0.0000058187
280	0.0000475509	0.0000058167
290	0.0000471962	0.0000058640
300	0.0000472003	0.0000058130
310	0.0000473748	0.0000058151
320	0.0000472368	0.0000057828
330	0.0000471035	0.0000058260
340	0.0000474868	0.0000059364
350	0.0000472571	0.0000058265
360	0.0000473675	0.0000057974
370	0.0000479170	0.0000058130
380	0.0000476582	0.0000058771
390	0.0000476696	0.0000058344
400	0.0000479832	0.0000058370
410	0.0000477035	0.0000057864
420	0.0000477399	0.0000058338
430	0.0000477186	0.0000058833
440	0.0000476477	0.0000058380
450	0.0000476675	0.0000058344
460	0.0000480253	0.0000058416
470	0.0000474764	0.0000058864
480	0.0000476149	0.0000058427
490	0.0000478790	0.0000058385
500	0.0000477587	0.0000058255
510	0.0000476379	0.0000058474
520	0.0000491139	0.0000058515
530	0.0000476451	0.0000058469
540	0.0000475384	0.0000060833
550	0.0000477707	0.0000058437
560	0.0000476795	0.0000058505
570	0.0000476321	0.0000060349
580	0.0000477816	0.0000058818
590	0.0000482056	0.0000058687
600	0.0000476623	0.0000059448
610	0.0000477556	0.0000058568
620	0.0000475129	0.0000059073
630	0.0000478889	0.0000058604
640	0.0000476561	0.0000059427
650	0.0000477160	0.0000059052
660	0.0000477306	0.0000058698
670	0.0000476972	0.0000058646
680	0.0000475972	0.0000058609
690	0.0000479868	0.0000058708
700	0.0000476300	0.0000058734
